CEM;Codice Edificio Regione Piemonte;V_PRO;Ente di competenza;Comune;Cod Comune;Stato esistenza edificio;Stato compilazione;Edificio principale;V_USO;Flag Statale;Frazione o Localita`;V_INDIRIZZO;Ente proprietario edificio;Ente proprietario edificio;GRADO;C_SO1;GRA_SO1;DENO SO1;COD_SEDEM_SO1;COD_SEDERP_SO1;C_SO2;GRA_SO2;DENO SO2;COD_SEDEM_SO2;COD_SEDERP_SO2;C_SO3;GRA_SO3;DENO SO3;COD_SEDEM_SO3;COD_SEDERP_SO3;C_SO4;GRA_SO4;DENO SO4;COD_SEDEM_SO4;COD_SEDERP_SO4;C_SO5;GRA_SO5;DENO SO5;COD_SEDEM_SO5;COD_SEDERP_SO5;C_SO6;GRA_SO6;DENO SO6;COD_SEDEM_SO6;COD_SEDERP_SO6
AL000050;0060680002;AL;Comune;Felizzano;006068;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;CORSO VITTORIO VENETO, 50;04. Comune;Si;PRI-;2;PRI;G. PASCOLI;ALEE81801T;0060682001;;;;;
AL000051;0061630002;AL;Comune;Solero;006163;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Piazza Regina Elena, 1;04. Comune;Si;INF-;1;INF;GUASCO;ALAA81804Q;0061631002;;;;;
AL000052;0060760001;AL;Comune;Fubine;006076;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;capoluogo;Via Pavaranza, 37;04. Comune;Si;PRI-SEC 1-;2;PRI;PIETRO ROBOTTI;ALEE81802V;0060762001;3;SEC 1;P. ROBOTTI;ALMM81803V;0060763001
AL000053;0060910001;AL;Comune;Masio;006091;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;ABAZIA;Strada COLLINA, 29;04. Comune;Si;INF-;1;INF;A. MANZONI;ALAA81803P;0060911002;;;;;
AL000054;0061900001;AL;Comune;Voltaggio;006190;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via SAN GIOVANNI DE ROSSI, 2;04. Comune;Si;INF-PRI-;1;INF;SANTA MARIA;ALAA80602B;0061901001;2;PRI;CESARE ANFOSSO;ALEE80604P;0061902001
AL000056;0061140007;AL;Comune;Novi Ligure;006114;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Viale SAFFI, 44;04. Comune;Si;INF-;1;INF;GARIBALDI;ALAA829013;0061141013;;;;;
AL000057;0061140012;AL;Comune;Novi Ligure;006114;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Corso ITALIA, 56;04. Comune;Si;PRI-;2;PRI;G. PASCOLI;ALEE829029;0061142001;;;;;
AL000058;0061140016;AL;Comune;Novi Ligure;006114;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Via TERRACINI, 1;04. Comune;Si;INF-;1;INF;VIA TERRACINI;ALAA830028;0061141008;;;;;
AL000059;0061140015;AL;Comune;Novi Ligure;006114;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Via SOLFERINO, 26;04. Comune;Si;INF-;1;INF;VIA SOLFERINO;ALAA830017;0061141007;;;;;
AL000061;0060740001;AL;Comune;Fresonara;006074;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Guglielmo Marconi, 69;04. Comune;Si;INF-PRI-;1;INF;E. DE AMICIS;ALAA83004A;0060741001;2;PRI;E. DE AMICIS;ALEE83002D;0060742001
AL000062;0061140006;AL;Comune;Novi Ligure;006114;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Via BUOZZI, 9;04. Comune;Si;INF-;1;INF;BUOZZI;ALAA831024;0061141012;;;;;
AL000063;0061140013;AL;Comune;Novi Ligure;006114;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Piazzale PIEVE, 5;04. Comune;Si;INF-;1;INF;PIEVE;ALAA831035;0061141011;;;;;
AL000064;0061380002;AL;Comune;Pozzolo Formigaro;006138;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Pozzolo Formigaro;VIA ODDINI GIAN BATTISTA, 1;04. Comune;Si;INF-;1;INF;ODDINI;ALAA831046;0061381003;;;;;
AL000067;0061690001;AL;Comune;Tagliolo Monferrato;006169;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Morella, 23;04. Comune;Si;INF-PRI-;1;INF;DI TAGLIOLO;ALAA808012;0061691002;2;PRI;E. LAMBRUSCHINI;ALEE80804A;0061692001
AL000068;0061210002;AL;Comune;Ovada;006121;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Duchessa di Galliera, 2;04. Comune;Si;SEC 1-;3;SEC 1¯;SANDRO PERTINI;ALMM82101L;0061213001;;;;;
AL000069;0060440001;AL;Comune;Cassinelle;006044;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Piazza S. Defendente, 6;04. Comune;Si;INF-PRI-;1;INF;DI CASSINELLE;ALAA808034;0060441001;2;PRI;FILIPPO SERPERO;ALEE808017;0060442001
AL000070;0060630001;AL;Comune;Cremolino;006063;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;VIA GUARDIA, 37;04. Comune;Si;INF-PRI-;1;INF;DI CREMOLINO;ALAA808056;0060631001;2;PRI;L. DA VINCI CREMOLINO-TRISOBBIO;ALEE80807D;0060632001
AL000071;0060490002;AL;Comune;Castelletto D`Orba;006049;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;VIA MARTIRI DELLA BENEDICTA, 10;04. Comune;Si;INF-;1;INF;DI CASTELLETTO D'ORBA;ALAA808045;0060491002;;;;;
AL000072;0061470001;AL;Comune;Rocca Grimalda;006147;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Parasio, 27;04. Comune;Si;INF-PRI-;1;INF;LIVIO SCARSI;ALAA808067;0061471002;2;PRI;SAN GIOVANNI BOSCO;ALEE80808E;0061472001
AL000074;0061210001;AL;Comune;Ovada;006121;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Dania, 26/a;04. Comune;Si;INF-PRI-;1;INF;GIOVANNI PAOLO II;ALAA82103E;0061211004;2;PRI;GIOVANNI PAOLO II;ALEE82103Q;0061212004
AL000075;0061230002;AL;Comune;Ozzano Monferrato;006123;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via Perbocca, 6;04. Comune;Si;INF-;1;INF;AI CADUTI DELLA PATRIA;ALAA82307A;0061231001;;;;;
AL000077;0061530001;AL;Comune;San Giorgio Monferrato;006153;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Sanlorenzo, 2;04. Comune;Si;INF-PRI-;1;INF;SAN GIORGIO MONFERRATO;ALAA82309C;0061531001;2;PRI;SAN GIORGIO MONFERRATO;ALEE82310Q;0061532001
AL000078;0061590001;AL;Comune;Serralunga Di Crea;006159;Utilizzato per uso scolastico;In compilazione;Unico;MENSA;SI;MADONNINA;LARGO DE GASPERI ALCIDE, 4;04. Comune;Si;INF-;1;INF;SERRALUNGA DI CREA;ALAA82310E;0061591001;;;;;
AL000079;0060530001;AL;Comune;Castelnuovo Scrivia;006053;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Piazza Vittorio Veneto, 5;04. Comune;Si;INF-PRI-;1;INF;C. GUERRA;ALAA81901C;0060531002;2;PRI;M. M. BANDELLO;ALEE81901N;0060532001
AL000080;0060960002;AL;Comune;Molino Dei Torti;006096;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via sorelle carena, 2;06. Enti religiosi;Si;INF-;1;INF;DI MOLINO DEI TORTI;ALAA81903E;0060961001;;;;;
AL000081;0061510003;AL;Comune;Sale;006151;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;Sale;Via Colombarola, 3;04. Comune;Si;INF-;1;INF;L'ISOLA DEI BAMBINI;ALAA81902D;0061511002;;;;;
AL000083;0060170001;AL;Comune;Bistagno;006017;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;CAPOLUOGO;VIA VIII MARZO, 15;04. Comune;Si;INF-;1;INF;DI BISTAGNO;ALAA810012;0060171001;;;;;
AL000084;0061060001;AL;Comune;Montechiaro D`Acqui;006106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;PIANA;Piazza Europa, 14;04. Comune;Si;INF-PRI-;1;INF;A. MONTI;ALAA810023;0061061001;2;PRI;GIUSEPPE UNGARETTI;ALEE810039;0061062002
AL000087;0061740008;AL;Comune;Tortona;006174;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Bidone, 4;04. Comune;Si;INF-;1;INF;TORTONA  A;ALAA83401E;0061741006;;;;;
AL000088;0060300002;AL;Comune;Carbonara Scrivia;006030;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via Tito Carbone, 26;04. Comune;Si;INF-;1;INF;TORTONA A;ALAA83403L;0060301001;;;;;;;;;;
AL000089;0061740007;AL;Comune;Tortona;006174;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Frazione Rivalta Scrivia;Strada Provinciale per Pozzolo Formigaro, 31/33;04. Comune;Si;INF-PRI-;1;INF;TORTONA A;ALAA83402G;0061741008;2;PRI;TORTONA A;ALEE83401Q;0061742007;;;;;
AL000090;0060790003;AL;Comune;Garbagna;006079;Utilizzato per uso scolastico;Validato;No;PALESTRA;SI;capoluogo;via roma, 40;04. Comune;Si;PRI-;2;PRI;G. PASCOLI;ALEE812064;0060792001;;;;;;;;;;
AL000091;0061740010;AL;Comune;Tortona;006174;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Viale Kennedy, 6;04. Comune;Si;INF-SEC 1-;1;INF;MARY POPPINS;ALAA83501A;0061741007;3;SEC 1;LUCA VALENZIANO;ALMM83401P;0061743002;;;;;
AL000092;0060060001;AL;Comune;Alluvioni Cambio`;006006;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA GARIBALDI GIUSEPPE, 18-20;04. Comune;Si;INF-;1;INF;GLI AQUILONI;ALAA81904G;0060061002;;;;;;;;;;
AL000093;0060870001;AL;Comune;Isola Sant`Antonio;006087;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Balduzzi, 10;04. Comune;Si;INF-;1;INF;C. POGGI;ALAA81905L;0060871002;;;;;;;;;;
AL000094;0061580001;AL;Comune;Sarezzano;006158;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Piazza MARCONI, 4/A;04. Comune;Si;INF-;1;INF;DI SAREZZANO;ALAA83503C;0061581002;;;;;;;;;;
AL000095;0061740009;AL;Comune;Tortona;006174;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIALE DE GASPERI ALCIDE, 1/C;04. Comune;Si;INF-;1;INF;G. SARINA;ALAA83404N;0061741009;;;;;;;;;;
AL000097;0061770009;AL;Comune;Valenza;006177;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Valenza;Viale Vittorio Veneto, 7;04. Comune;Si;INF-PRI-SEC 1-;1;INF;LA GABBIANELLA;ALAA03607D;0061771006;2;PRI;DON MINZONI;ALEE03603E;0061772001;3;SEC 1;G. PASCOLI;ALMM08400Q;0061773001
AL000099;0060130001;AL;Comune;Bassignana;006013;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;bassignana;Via Della Vittoria, 19;04. Comune;Si;INF-;1;INF;F. LUNATI;ALAA037013;0060131002;;;;;;;;;;
AL000100;0061770011;AL;Comune;Valenza;006177;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;Valenza;VIA DEMICHELIS PAOLO, 1;04. Comune;Si;PRI-;2;PRI;SETTE FRATELLI CERVI;ALEE03704B;0061772006;;;;;;;;;;
AL000101;0060070001;AL;Comune;Altavilla Monferrato;006007;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIALE UNITA` D`ITALIA, 13;04. Comune;Si;INF-;1;INF;ALTAVILLA MONFERRATO;ALAA823036;0060071001;;;;;;;;;;
AL000102;0061710001;AL;Comune;Terruggia;006171;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Marconi, 3-5;04. Comune;Si;INF-PRI-;1;INF;FRECCIA AZZURRA;ALAA823025;0061711001;2;PRI;DI TERRUGGIA;ALEE82307G;0061712001;;;;;
AL000103;0060940002;AL;Comune;Mirabello Monferrato;006094;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Maria Ausiliatrice, 7;04. Comune;Si;INF-;1;INF;DI MIRABELLO MONFERRATO;ALAA82207E;0060941002;;;;;;;;;;
AL000104;0061810003;AL;Comune;Viguzzolo;006181;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Gramsci, snc;04. Comune;Si;INF-;1;INF;DI VIGUZZOLO;ALAA81201N;0061811001;;;;;;;;;;
AL000107;0061550001;AL;Comune;San Sebastiano Curone;006155;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Via TELECCO, 8;04. Comune;Si;INF-PRI-SEC 1-;1;INF;MARCELLO BERNARDI;ALAA81204R;0061551002;2;PRI;PITTORE FELICE GIANI;ALEE812042;0061552001;3;SEC 1;F. ANSELMI;ALMM81202V;0061553001
AL000108;0060830002;AL;Comune;Gremiasco;006083;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via soldati dispersi in Russia, 8;04. Comune;Si;INF-;1;INF;DUSIO BONFIGLIO;ALAA81203Q;0060831001;;;;;
AL000109;0060030028;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Cavallotti, 4;04. Comune;Si;INF-PRI-;1;INF;G. MARIOTTI;ALAA82601G;0060031017;2;PRI;GIOSUE' CARDUCCI;ALEE82601R;0060032001
AL000113;0060030023;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Valmadonna;via comunale, 31;04. Comune;Si;PRI-;2;PRI;VITTORINO DA FELTRE;ALEE82804G;0060032007;;;;;
AL000114;0060030031;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via Galileo Galilei, 14/16;04. Comune;Si;INF-PRI-;1;INF;GALILEO GALILEI;ALAA82502R;0060031049;2;PRI;GALILEO GALILEI;ALEE825011;0060032004
AL000117;0060030016;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Benedetto Croce, 9;04. Comune;Si;PRI-;2;PRI;P. MORANDO;ALEE82801C;0060032032;;;;;
AL000118;0060030014;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Rettoria, 17;04. Comune;Si;PRI-;2;PRI;SANTORRE SANTAROSA;ALEE82802D;0060032013;;;;;
AL000119;0060030024;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Valle San Bartolomeo;piazza dossena, 11;04. Comune;Si;PRI-;2;PRI;VITTORIO ALFIERI;ALEE82803E;0060032016;;;;;
AL000122;0060030035;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Spinetta Marengo;Via del Ferraio, 46;04. Comune;Si;PRI-;2;PRI;A. CARETTA;ALEE817012;0060032028;;;;;
AL000123;0060030036;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Spinetta Marengo;Via Genova, 401;04. Comune;Si;PRI-;2;PRI;G. CASALEGGIO;ALEE817023;0060032023;;;;;
AL000127;0060030037;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;San Giuliano Vecchio;Via Grassano, 12;04. Comune;Si;PRI-SEC 1-;2;PRI;A. E V. PRATO;ALEE817056;0060032027;3;SEC 1;G. MAZZINI;ALMM817011;0060033010
AL000128;0060750001;AL;Comune;Frugarolo;006075;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;CAPOLUOGO;Via MATTEOTTI, 46;04. Comune;Si;PRI-;2;PRI;GIOVANNI XXIII;ALEE81606B;0060752001;;;;;
